# --- TEST_START: 1746911578 ---
prometheus,0.00%,59.48MiB / 30.25GiB,1.02MB / 2.97MB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.31%,61.09MiB / 30.25GiB,2.06MB / 3.02MB
backend-a-1,0.11%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.23%,77.8MiB / 30.25GiB,43kB / 87.2kB
myservice,0.10%,595.6MiB / 30.25GiB,49.3kB / 1.09MB
node-exporter,1.59%,11.11MiB / 30.25GiB,50.2kB / 961kB
confident_ptolemy,0.09%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.11MiB / 30.25GiB,2.06MB / 3.02MB
backend-a-1,0.12%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,1.31%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.03%,77.8MiB / 30.25GiB,43.1kB / 87.4kB
myservice,0.12%,595.6MiB / 30.25GiB,49.3kB / 1.09MB
node-exporter,0.00%,11.11MiB / 30.25GiB,50.2kB / 961kB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.15MiB / 30.25GiB,2.09MB / 3.02MB
backend-a-1,0.11%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.02%,77.8MiB / 30.25GiB,43.1kB / 87.4kB
myservice,0.15%,595.6MiB / 30.25GiB,50.1kB / 1.1MB
node-exporter,1.33%,12.19MiB / 30.25GiB,51kB / 976kB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.17%,61.15MiB / 30.25GiB,2.11MB / 3.02MB
backend-a-1,0.12%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.09%,77.8MiB / 30.25GiB,43.1kB / 87.4kB
myservice,0.80%,595.6MiB / 30.25GiB,50.8kB / 1.12MB
node-exporter,0.00%,12.19MiB / 30.25GiB,51kB / 976kB
confident_ptolemy,0.10%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.16MiB / 30.25GiB,2.12MB / 3.02MB
backend-a-1,0.11%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,6.84%,553.5MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.05%,77.8MiB / 30.25GiB,43.1kB / 87.4kB
myservice,0.10%,595.6MiB / 30.25GiB,50.8kB / 1.12MB
node-exporter,0.00%,12.37MiB / 30.25GiB,51.7kB / 990kB
confident_ptolemy,0.10%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.80%,61.28MiB / 30.25GiB,2.16MB / 3.02MB
backend-a-1,0.13%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.12%,553.4MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.12%,77.8MiB / 30.25GiB,43.2kB / 87.5kB
myservice,0.14%,595.6MiB / 30.25GiB,51.6kB / 1.14MB
node-exporter,0.00%,12.37MiB / 30.25GiB,51.7kB / 990kB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.16MiB / 30.25GiB,2.16MB / 3.02MB
backend-a-1,0.10%,647.6MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,553.3MiB / 30.25GiB,4.67MB / 5.03MB
grafana,0.99%,77.8MiB / 30.25GiB,43.2kB / 87.5kB
myservice,0.11%,595.6MiB / 30.25GiB,51.6kB / 1.14MB
node-exporter,0.00%,12.59MiB / 30.25GiB,52.4kB / 1.01MB
confident_ptolemy,0.13%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.18MiB / 30.25GiB,2.19MB / 3.03MB
backend-a-1,0.12%,647.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.14%,553.3MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.32%,77.8MiB / 30.25GiB,43.3kB / 87.5kB
myservice,0.10%,595.6MiB / 30.25GiB,52.3kB / 1.15MB
node-exporter,0.00%,11.35MiB / 30.25GiB,53.2kB / 1.02MB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.31%,61.16MiB / 30.25GiB,2.22MB / 3.03MB
backend-a-1,0.11%,647.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.09%,553.3MiB / 30.25GiB,4.67MB / 5.03MB
grafana,0.99%,77.81MiB / 30.25GiB,43.3kB / 87.5kB
myservice,0.16%,597.7MiB / 30.25GiB,53kB / 1.17MB
node-exporter,0.00%,11.35MiB / 30.25GiB,53.2kB / 1.02MB
confident_ptolemy,0.09%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.18MiB / 30.25GiB,2.22MB / 3.03MB
backend-a-1,0.14%,647.4MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.09%,553.3MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.01%,77.8MiB / 30.25GiB,43.3kB / 87.7kB
myservice,0.11%,597.6MiB / 30.25GiB,53kB / 1.17MB
node-exporter,0.00%,12.04MiB / 30.25GiB,53.9kB / 1.03MB
confident_ptolemy,0.09%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.63%,61.18MiB / 30.25GiB,2.25MB / 3.03MB
backend-a-1,0.11%,647.4MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.11%,553.3MiB / 30.25GiB,4.67MB / 5.03MB
grafana,3.26%,77.94MiB / 30.25GiB,43.3kB / 87.7kB
myservice,0.10%,597.6MiB / 30.25GiB,53.8kB / 1.19MB
node-exporter,0.01%,11.93MiB / 30.25GiB,54.7kB / 1.05MB
confident_ptolemy,0.09%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.10%,61.18MiB / 30.25GiB,2.27MB / 3.03MB
backend-a-1,0.18%,647.4MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,553.3MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.06%,77.85MiB / 30.25GiB,43.3kB / 87.7kB
myservice,1.50%,597.8MiB / 30.25GiB,54.5kB / 1.2MB
node-exporter,0.00%,11.93MiB / 30.25GiB,54.7kB / 1.05MB
confident_ptolemy,0.12%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.19MiB / 30.25GiB,2.28MB / 3.03MB
backend-a-1,0.94%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.56%,551.2MiB / 30.25GiB,4.67MB / 5.03MB
grafana,0.96%,77.85MiB / 30.25GiB,43.3kB / 87.7kB
myservice,0.10%,597.7MiB / 30.25GiB,54.5kB / 1.2MB
node-exporter,0.00%,11.25MiB / 30.25GiB,55.4kB / 1.06MB
confident_ptolemy,0.09%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.83%,61.21MiB / 30.25GiB,2.31MB / 3.03MB
backend-a-1,0.12%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.11%,551.1MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.21%,77.85MiB / 30.25GiB,43.5kB / 87.8kB
myservice,0.13%,597.7MiB / 30.25GiB,55.3kB / 1.22MB
node-exporter,0.00%,11.25MiB / 30.25GiB,55.4kB / 1.06MB
# --- TEST_END: 1746911785 ---
prometheus,0.00%,61.2MiB / 30.25GiB,2.31MB / 3.03MB
backend-a-1,0.12%,642.5MiB / 30.25GiB,4.92MB / 5.34MB
backend-b-1,0.18%,551.1MiB / 30.25GiB,4.69MB / 5.05MB
grafana,1.28%,77.85MiB / 30.25GiB,43.5kB / 87.8kB
myservice,0.12%,597.7MiB / 30.25GiB,55.3kB / 1.22MB
node-exporter,0.00%,11.32MiB / 30.25GiB,56.1kB / 1.08MB
